station_4,18600003294,18900004149,busy,1606550754162,0
station_6,18600007904,18900004783,success,1606550754162,20
station_8,18600000183,18900000865,success,1606550754162,10
station_0,18600005712,18900000678,failed,1606550754162,0
station_6,18600002230,18900000053,busy,1606550754163,0
station_0,18600008917,18900008108,barring,1606550754163,0
station_0,18600002944,18900008155,busy,1606550754163,0
station_4,18600004526,18900006991,barring,1606550754163,0
station_5,18600003263,18900006649,barring,1606550754163,0
station_5,18600003263,18900006649,barring,1606550884163,0
station_9,18600007853,18900004122,success,1606550754163,60
station_9,18600007855,18900004122,success,1606550764163,60
station_5,18600003263,18900006649,barring,1606550754163,0
station_5,18600003263,18900006649,barring,1606550884163,0
